GLNumber,GLName,GLGroup
63305003,Repair & Maint: Refrigeration,Other MFC Opex
63305004,Repair & Maint: EICR,Other MFC Opex
63305005,Repair & Maint: Emergency Light Testing,Other MFC Opex
63305006,Repair & Maint: PAT,Other MFC Opex
63305007,Repair & Maint: Gas Boilers,Other MFC Opex
63305008,Repair & Maint: Roller Doors,Other MFC Opex
63305009,Repair & Maint: Auto Doors,Other MFC Opex
63305010,Repair & Maint: Water Risk Assessments,Other MFC Opex
63305011,Repair & Maint: Reactive Repair Works,Other MFC Opex
63305012,Repair & Maint: Asbestos Inspection,Other MFC Opex
63305013,Repair & Maint: Sensors,Other MFC Opex
63306001,Storage Expenses,Other MFC Opex
63309001,Leasehold Expenses,Other MFC Opex
63404001,Insurance Expense - Miscellaneous,Insurance
63404002,Bike insurance,Insurance
63404003,Owned bike Insurance,Insurance
63404004,Moped Insurance,Insurance
63501001,Adv & Promo: Paid Digital,Advertising & Promotion
63502001,Brand Ambassador Program,Advertising & Promotion
63503001,Adv &Promo: Ground & Events,Advertising & Promotion
63506001,Adv & Promo: Brand,Advertising & Promotion
63508001,Adv & Promo: Marketing Tools & Services,Advertising & Promotion
63511001,Adv & Promo: Partnerships,Advertising & Promotion
63513001,Adv & Promo: Europe Marketing,Advertising & Promotion
63601001,Prof Services: Accounting Fees,Other Corp SG&A
63601301,Audit Fees,Other Corp SG&A
63602001,Prof Services: Consulting Fees,Other Corp SG&A
63603001,Prof Services: Legal Fees,Other Corp SG&A
63605001,Prof Services: Recruiter,Other Corp SG&A
63606001,Prof Services: Real Estate Agent,Other Corp SG&A
63611001,Prof Services: Recruitment Expenses,Other Corp SG&A
63699001,Prof Services: Other,Other Corp SG&A
63801001,Office Supplies & Expenses,Other MFC Opex
63801001,Office/MFC Relocation,Other MFC Opex
63801002,Stationary,Other Corp SG&A
63802001,Dues & Subscription,Other Corp SG&A
63803001,Licenses Taxes & Fees,Other MFC Opex
63805001,Liquor Licenses Fee Expense,Other MFC Opex
64002001,Technology Software,Other Corp SG&A
64003001,Computer and Internet Expenses,Other Corp SG&A
64003001,Hardware,Other Corp SG&A
64003002,Computer and Internet Expenses: Primary,Other Corp SG&A
64003003,Computer and Internet Expenses: Secondary,Other Corp SG&A
64005001,Telecom & Phone Expense,Other MFC Opex
64101001,Credit Card Processing Fees,Credit Card Processing Fees
64102001,Merchant Account Fees,Other Corp SG&A
64104001,Bad Debt,Other Corp SG&A
64105001,Bank Service Charges,Other Corp SG&A
65001001,Travel Expense,Other Corp SG&A
65001002,Travel: International,Other Corp SG&A
65001003,Travel: Entertainment 0%,Other Corp SG&A
65002001,Meals and Entertainment,Other Corp SG&A
65003001,T&E: Automobile Expense,Other Corp SG&A
65004001,Lodging,Other Corp SG&A
65005001,Transportation,Other Corp SG&A
65099001,Travel & Entertainment - Other,Other Corp SG&A
65101001,Training/Education and Se,Other MFC Opex
66002001,Property Tax,MFC Rent
66007001,Stamp & Duty Taxes,Other MFC Opex
67002001,HR fees,Other Corp SG&A
67006001,Realized Currency Gains/Losses,Other Corp SG&A
67006302,Realized Currency Losses,Other Corp SG&A
67006303,Realized Currency Gains,Other Corp SG&A
67011001,Acquisition and Transactions Expense,Any other one-time costs
70006001,Tips Revenue,Driver Earnings
70009001,Proceeds of Sale Gain/Loss,Lease Adj Gains/Losses
70011001,Loss on Asset Write Down,Lease Adj Gains/Losses
70015001,Intercompany Services - Income,Intercompany
70099001,Other Income,Other Income
70004001,Sublease Income,Other Income
80003001,Penalties & Fines,Other MFC Opex
80004001,Test Orders,Other Corp SG&A
80005001,General Expense,Other Expense
80008001,Intercompany Services - Expense,Intercompany
80099001,Other Expense,Other Expense
81004001,Intercompany Interest Expense,Intercompany
81006001,Intercompany Expense,Intercompany
81099001,Interest Expense - Miscellaneous,Other Expense
