GLNumber,GLName,GLGroup,Signage
67006001,Realized Currency Gains/Losses,Other Corp SG&A,-1
67006302,Realized Currency Losses,Other Corp SG&A,-1
67006303,Realized Currency Gains,Other Corp SG&A,1
67011001,Acquisition and Transactions Expense,Any other one-time costs,-1
70004001,Sublease Income,Other Income,1
70006001,Tips Revenue,Driver Earnings,-1
70009001,Proceeds of Sale Gain/Loss,Lease Adj Gains/Losses,-1
70011001,Loss on Asset Write Down,Lease Adj Gains/Losses,-1
70015001,Intercompany Services - Income,Intercompany,-1
70099001,Other Income,Other Income,-1
80001001,Employee Theft Loss,Other Expense,-1
80003001,Penalties & Fines,Other MFC Opex,-1
80004001,Test Orders,Other Corp SG&A,-1
80008001,Intercompany Services - Expense,Intercompany,-1
80099001,Other Expense,Other Expense,-1
81099001,Interest Expense - Miscellaneous,Intercompany,-1
81004001,Intercompany Interest Expense,Other Expense,-1
